system,label,seed,dataset,n_elements,n_atoms,sil_k2,sil_k3,sil_k4
FeNiCrCoCu_HEA,HEA,42,MS25,5,18,0.43772217631340027,0.4139690399169922,0.29449594020843506
FeNiCrCoCu_HEA,HEA,52,MS25,5,18,0.3969452381134033,0.2649107873439789,0.26283255219459534
FeNiCrCoCu_HEA,HEA,62,MS25,5,18,0.4231954514980316,0.396440327167511,0.21034599840641022
MgO_surface,MgO(100),42,MS25,2,79,0.4860380291938782,0.3276916444301605,0.28697603940963745
MgO_surface,MgO(100),52,MS25,2,79,0.43969571590423584,0.3782980740070343,0.3298470973968506
MgO_surface,MgO(100),62,MS25,2,79,0.5711085796356201,0.5350183248519897,0.3000374734401703
Pt_CH_activation,Pt(111),42,MS25,3,32,0.49625271558761597,0.5155290365219116,0.434531569480896
Pt_CH_activation,Pt(111),52,MS25,3,32,0.6351268291473389,0.4050305485725403,0.3653392791748047
Pt_CH_activation,Pt(111),62,MS25,3,32,0.4727160632610321,0.44847825169563293,0.39189425110816956
Zr_oxide_amorphous,ZrO2(am),42,MS25,2,180,0.38125526905059814,0.21056579053401947,0.2730801999568939
Zr_oxide_amorphous,ZrO2(am),52,MS25,2,180,0.4276813566684723,0.3470807671546936,0.2352636754512787
Zr_oxide_amorphous,ZrO2(am),62,MS25,2,180,0.3401535153388977,0.23426736891269684,0.2407776117324829
liquid_water,H2O(l),42,MS25,2,36,0.47033950686454773,0.5917216539382935,0.5783724188804626
liquid_water,H2O(l),52,MS25,2,36,0.4682047367095947,0.6142770648002625,0.6353574991226196
liquid_water,H2O(l),62,MS25,2,36,0.4987410008907318,0.6214377880096436,0.7012285590171814
zeolite,Zeolite,42,MS25,4,52,0.9492430686950684,0.6315217018127441,0.606468141078949
zeolite,Zeolite,52,MS25,4,52,0.9522235989570618,0.6522355079650879,0.24125969409942627
zeolite,Zeolite,62,MS25,4,52,0.9487688541412354,0.6145315170288086,0.26671281456947327
mp-22046,mp-22046,42,MP-ALOE,1,50,0.25920116901397705,0.15060670673847198,0.14428108930587769
mp-22046,mp-22046,52,MP-ALOE,1,50,0.24072109162807465,0.19460426270961761,0.1606229543685913
mp-22046,mp-22046,62,MP-ALOE,1,50,0.26690512895584106,0.16835260391235352,0.16762863099575043
mp-632401,mp-632401,42,MP-ALOE,1,12,0.16056981682777405,0.1422954946756363,0.12144879996776581
mp-632401,mp-632401,52,MP-ALOE,1,12,0.16394706070423126,0.13721458613872528,0.13489936292171478
mp-632401,mp-632401,62,MP-ALOE,1,12,0.1549840122461319,0.10233204066753387,0.10360459983348846
mp-729184,mp-729184,42,MP-ALOE,1,40,0.3114481568336487,0.27585870027542114,0.24225209653377533
mp-729184,mp-729184,52,MP-ALOE,1,40,0.36374273896217346,0.2751254439353943,0.18525105714797974
mp-729184,mp-729184,62,MP-ALOE,1,40,0.3680942952632904,0.23632782697677612,0.23615163564682007
mp-570316,mp-570316,42,MP-ALOE,1,48,0.25647827982902527,0.20865610241889954,0.13833563029766083
mp-570316,mp-570316,52,MP-ALOE,1,48,0.27076900005340576,0.16560494899749756,0.1619907170534134
mp-570316,mp-570316,62,MP-ALOE,1,48,0.2827163636684418,0.159328430891037,0.1454477310180664
